mls_id,address,city,bedrooms,washrooms,parking,type,price,lat,lng,Elementary,Intermediate,Secondary
C12702026,3405 1 Yorkville Avenue,Toronto,3,2,1,Condo,1180000,43.6716481,-79.3888075,Jesse Ketchum Jr & Sr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
E12702000,1702 1350 Ellesmere Road,Toronto,3,2,1,Condo,647900,43.7718894,-79.2508251,Edgewood PS,Edgewood PS,D & M Thomson CI
E12701998,1115 1350 Ellesmere Road N,Toronto,2,2,0,Condo,409900,43.7718894,-79.2508251,Edgewood PS,Edgewood PS,D & M Thomson CI
E12701996,725 1350 Ellesmere Road,Toronto,2,2,1,Condo,528900,43.7702278,-79.2615674,Edgewood PS,Edgewood PS,D & M Thomson CI
W12701960,3106 2220 Lakeshore Boulevard W,Toronto,2,1,1,Condo,549000,43.613193,-79.4900006,,,
C12701956,1405 438 King Street W,Toronto,2,2,1,Condo,899800,43.6458317,-79.394595,Ogden Jr PS,Ryerson CS,Harbord CI
C12701944,1402 168 King St East Street,Toronto,2,2,1,Condo,999999,43.6504748,-79.3720885,,,
W12701942,510 3 Rowntree Road,Toronto,2,2,1,Condo,585000,43.7511738,-79.5849043,General Mercer Jr PS,Carleton Village Jr & Sr SWA,Oakwood CI
C12701934,47 Wycliffe Crescent,Toronto,7,7,7,Detached,4000000,43.7770804,-79.3877749,Elkhorn PS,Bayview MS,Earl Haig SS
E12701920,134 201 Alexmuir Boulevard,Toronto,4,3,2,Condo,798000,43.8102726,-79.2870771,Alexmuir Jr PS,Henry Kelsey Sr PS,Albert Campbell CI
E12701908,74 St Hubert Avenue,Toronto,4,2,2,Detached,1199000,43.6934911,-79.339505,Diefenbaker ES,Cosburn MS,East York CI
C12701896,3421 230 Simcoe Street,Toronto,1,1,0,Condo,519900,43.6535682,-79.3888769,Ogden Jr PS,Ryerson CS,Harbord CI
C12701894,222 30 Inn On The Park Drive,Toronto,3,3,1,Condo,1250000,43.7192451,-79.349366,Rippleton PS,Don Mills MS,Don Mills CI
C12701890,324 Old Yonge Street,Toronto,7,7,18,Detached,6880000,43.7508282,-79.4039688,Owen PS,St Andrew's MS,York Mills CI
C12701880,703 5 Defries Street,Toronto,2,1,0,Condo,549999,43.6604027,-79.3566137,Nelson Mandela Park PS,Nelson Mandela Park PS,Jarvis CI
C12701860,2807 9 Bogert Avenue,Toronto,3,2,1,Condo,699000,43.7587441,-79.4197189,Cameron PS,Willowdale MS,Northview Heights SS
C12701844,1903 88 Broadway Avenue,Toronto,3,2,2,Condo,899999,43.7109472,-79.3942823,John Fisher Jr PS,Hodgson MS,North Toronto CI
E12701834,905 225 Village Green Square,Toronto,2,1,1,Condo,468000,43.7772898,-79.2850969,Inglewood Heights Jr PS,John Buchan Sr PS,Stephen Leacock CI
C12701824,211 456 College Street,Toronto,2,1,1,Condo,768800,43.6591713,-79.3932873,Beaumonde Heights JMS,Beaumonde Heights JMS,Thistletown CI
C12701764,1509 28 Ted Rogers Way,Toronto,2,1,1,Condo,699000,43.6703401,-79.3799891,Jesse Ketchum Jr & Sr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
E12701760,657 Pharmacy Avenue,Toronto,4,4,3,Detached,1268000,43.7117742,-79.2915595,Clairlea PS,Clairlea PS,SATEC @ WA Porter CI
C12701734,121 900 Mount Pleasant Road,Toronto,2,2,1,Condo,698888,43.7159262,-79.3930836,John Fisher Jr PS,Hodgson MS,North Toronto CI
W12701696,3 68 Westholme Avenue,Toronto,4,3,0,Condo,1379000,43.6615724,-79.4793062,,,
C12701688,1301 60 Berwick Avenue,Toronto,1,1,1,Condo,499000,43.7038521,-79.3992821,Oriole Park Jr PS,Hodgson MS,North Toronto CI
C12701686,84 Ellerslie Avenue,Toronto,4,4,1,Detached,1630000,43.7708345,-79.4174455,Churchill PS,Willowdale MS,Northview Heights SS
W12701682,2 68 Westholme Avenue,Toronto,3,2,0,Condo,969000,43.6615724,-79.4793062,,,
E12701644,27 649E Warden Avenue,Toronto,3,1,3,Condo,635000,43.76454,-79.3017049,Birch Cliff PS,Birch Cliff PS,Birchmount Park CI
C12701604,504 350 Seneca Hill Drive,Toronto,3,2,1,Condo,610000,43.79071,-79.3560882,Crestview PS,Don Valley MS,Georges Vanier SS
W12701602,2502 830 Lawrence Avenue W,Toronto,3,2,1,Condo,650000,43.7147231,-79.4544137,Flemington PS,Lawrence Heights MS,John Polanyi CI
C12701588,3906 311 Bay Street,Toronto,2,2,1,Condo,1890000,43.6699149,-79.3895488,Market Lane Jr & Sr PS,Market Lane Jr & Sr PS,Jarvis CI
C12701584,807 14 York Street,Toronto,2,1,0,Condo,498800,43.6407814,-79.3806009,Baycrest PS,Baycrest PS,John Polanyi CI
W12701580,50 Arcadian Circle,Toronto,6,5,5,Detached,2100000,43.5929602,-79.5270782,,,
C12701544,1612 20 Edward Street,Toronto,2,1,0,Condo,688000,43.6554599,-79.3885919,Church Street Jr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
C12701538,21 Rolyat Street,Toronto,5,5,2,Detached,2299000,43.6485307,-79.4216634,Givins Shaw Jr PS,Alexander M G Ave Jr & Sr PS,Parkdale CI
C12701504,316 115 denison Avenue,Toronto,3,3,1,Condo,1295000,43.6515335,-79.4020452,Ryerson CS,Ryerson CS,Harbord CI
C12701484,506 8 The Esplanade Street,Toronto,2,1,0,Condo,619000,43.6515335,-79.4020452,,,
C12701482,501 115 Denison Avenue,Toronto,1,2,0,Condo,760000,43.6517865,-79.402032,Ryerson CS,Ryerson CS,Harbord CI
W12701480,65 Elnathan Crescent,Toronto,7,4,3,Detached,920000,43.7586107,-79.5675715,Gracedale PS,Humber Summit MS,Emery CI
W12701474,A21 296 Mill Road,Toronto,3,2,1,Condo,499000,43.637823,-79.5838782,Armour Heights PS,Armour Heights PS,York Mills CI */ Northern SS
C12701468,1602 955 Bay Street,Toronto,1,1,0,Condo,499000,43.6645558,-79.3871249,Jesse Ketchum Jr & Sr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
C12701444,212 Cummer Avenue,Toronto,6,3,8,Detached,2550000,43.7894044,-79.4071064,Lillian PS,Cummer Valley MS,Newtonbrook SS
E12701352,3079 pharmacy Avenue,Toronto,2,2,1,Detached,799000,43.7959401,-79.3268123,Beverly Glen Jr PS,Sir Ernest MacMillan Sr PS,L'Amoreaux CI
C12701332,4606 38 Widmer Street,Toronto,3,2,1,Condo,1049000,43.6469479,-79.3913076,Ogden Jr PS,Ryerson CS,Harbord CI
C12701286,57 Cobblestone Drive,Toronto,6,4,4,Detached,1520000,43.7860111,-79.3645898,Crestview PS,Don Valley MS,Georges Vanier SS
C12701310,1506 8 Mercer Street,Toronto,2,1,0,Condo,585000,43.6455833,-79.3910848,Ogden Jr PS,Ryerson CS,Harbord CI
